Price,Close,High,Low,Open,Volume,Daily_Return,MA_7,MA_30,MA_90,Volatility
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,,,,,
Date,,,,,,,,,,
2018-01-02,53.258094787597656,53.39555637599077,52.25616650977731,52.25616650977731,31766000,,,,,
2018-01-03,54.16672897338867,54.394011768856736,53.269012854206274,53.29382310488846,31318000,0.01706095926665796,,,,
2018-01-04,54.377140045166016,54.79002080218762,54.30270550308476,54.44314296338079,26052000,0.0038845076260876077,,,,
2018-01-05,55.09819412231445,55.26146171123271,54.67687795009025,54.75875973348972,30250000,0.013260242751816698,,,,
2018-01-08,55.292724609375,55.53836996467042,55.08380433455561,55.133428626287504,24644000,0.0035306145720257476,,,,
2018-01-09,55.222251892089844,55.50263459976359,54.99447312387298,55.50263459976359,26808000,-0.0012745386989522212,,,,
2018-01-10,55.09074783325195,55.221757922731676,54.78505888649609,54.934923706652604,20734000,-0.0023813599469805213,54.64369746616909,,,
2018-01-11,55.18553924560547,55.32448878356856,54.9091281034237,55.19844224357218,22424000,0.0017206412343580002,54.91904667445591,,,
2018-01-12,56.10856246948242,56.14081617656425,54.985051398298886,55.08876756824838,38586000,0.016725816880559963,55.19645145961216,,,
2018-01-16,56.11103820800781,57.01322191950671,55.910553359462554,56.587934163341046,36462000,4.412407690423947e-05,55.44415119716099,,,
2018-01-17,56.52788543701172,56.53880073484241,55.75323625305388,56.39191179625855,27830000,0.007428970169089055,55.648392813546316,,,
2018-01-18,56.3725700378418,56.60183677715808,55.80138520817931,56.54030144045413,27498000,-0.0027475890521854174,55.80265644618443,,,
2018-01-19,56.74624252319336,56.76013747627442,56.200367743826874,56.474794960223306,30552000,0.006628622486090752,56.020369393484934,,,
2018-01-22,57.7714958190918,57.90647752409935,56.662871675936096,56.762124043174204,29550000,0.018067333629700588,56.403333391462056,,,
2018-01-23,58.36749267578125,58.48361586672038,57.92483808376147,58.09207350050602,39138000,0.01031645188062602,56.85789816720145,,,
2018-01-24,58.12532043457031,58.907413177364646,57.93227903128399,58.804688966213476,37128000,-0.004149094472091663,57.14600644792829,,,
2018-01-25,58.66374969482422,58.805678869563444,58.15261233236536,58.592787000499854,29984000,0.009263248034219407,57.51067951747349,,,
2018-01-26,58.93272018432617,58.93272018432617,57.96354533212695,58.931232250686385,42170000,0.004584952221792227,57.85422733851841,,,
2018-01-29,58.879127502441406,59.45080826013059,58.75903270702499,58.954557786460356,31494000,-0.0009093875476499091,58.21230697631836,,,
